dot_x,dot_y,dot_fwhm_x,dot_fwhm_y,laser_x,laser_y
1.398844160562540537e+03,6.333721111990950021e+02,6.627264695958363916e+01,1.129755957666291266e+02,1.259166405699739698e+03,1.109328089416476359e+03
1.396503899467285009e+03,6.339658120123004892e+02,6.867100713207675255e+01,1.089714150300029871e+02,1.256633399445480563e+03,1.108733526730136191e+03
1.398457789050785550e+03,6.347243471933721821e+02,6.646591661084435998e+01,9.536500436035530015e+01,1.256864581891436728e+03,1.110244671464570729e+03
1.397961517268787702e+03,6.348874265910963004e+02,6.691583987643417686e+01,8.670862322224537877e+01,1.256446695766387620e+03,1.109708788299268008e+03
1.399505159332156836e+03,6.348538680075014327e+02,6.545481972334881959e+01,8.746252876157984701e+01,1.257145593561177975e+03,1.110929733870523705e+03
1.398699094402296851e+03,6.344613835023825459e+02,6.692122997884219160e+01,9.574714860076736045e+01,1.257308435506401111e+03,1.109325478232979094e+03
1.397227963761396950e+03,6.345912745585662833e+02,6.993441755922791003e+01,9.709830197959547604e+01,1.256320251334532486e+03,1.107530717592276460e+03
1.400190182171529159e+03,6.348369213179939834e+02,6.510882157927424885e+01,8.149965652165080598e+01,1.257899134979305472e+03,1.109188867986088781e+03
1.399465088499882086e+03,6.350832617763941244e+02,6.623177415819098712e+01,8.013189470671130721e+01,1.256426824754720883e+03,1.108483835640706502e+03
1.398929208269778655e+03,6.340245618578586573e+02,6.798216007870512101e+01,8.557328366724541979e+01,1.257462329100296529e+03,1.106277295712141040e+03
1.400236442402286684e+03,6.344861935958249433e+02,6.540293740995267058e+01,8.271410215322313775e+01,1.258283537706945935e+03,1.107819467210333414e+03
1.400051857303334828e+03,6.347343877796116658e+02,6.585351950054760550e+01,7.895130066194835194e+01,1.258003765895031620e+03,1.108574733533396056e+03
1.399001916615342452e+03,6.353398450650618088e+02,6.741989677684809124e+01,8.044539677324250704e+01,1.255762211824027645e+03,1.107911122533239450e+03
1.400523061911240120e+03,6.345346923408848170e+02,6.617443400596680192e+01,8.278948735774120848e+01,1.257889409870683949e+03,1.107958093403570956e+03
1.400037626181083169e+03,6.351278782496666508e+02,6.661517351348823013e+01,8.058027022530608008e+01,1.256914165851677581e+03,1.108067281675374034e+03
1.399094104289347570e+03,6.353542864624440654e+02,6.861985071185112872e+01,8.289911254698847642e+01,1.256406938485312594e+03,1.106484706671564709e+03
1.400430326638876068e+03,6.348099642244866345e+02,6.669525896822625555e+01,8.055868460705325163e+01,1.257321560513102668e+03,1.107905273292885340e+03
1.398923475133584134e+03,6.350440861302358826e+02,6.783884615682831054e+01,7.869177436867192910e+01,1.255575912215525022e+03,1.106470643407987836e+03
1.400183025459329428e+03,6.345268898441555621e+02,6.749422334864307516e+01,7.775855975159123545e+01,1.257490828240187057e+03,1.106776182026197375e+03
1.400484873370552805e+03,6.344729365988449672e+02,6.653681927456939604e+01,7.518521727820194656e+01,1.257822561632357974e+03,1.106996647817680241e+03
1.401020704858473664e+03,6.353296913244063262e+02,6.521709208579551387e+01,7.472382251217864280e+01,1.257573570762460349e+03,1.108477210909599307e+03
